key,stage,family,numel,fp_changed_count,fp_changed_ratio,fp_mean_abs_delta,fp_max_abs_delta,fp_mean_abs_delta_changed_only,q_mean_abs_delta_to_base_all,q_mean_abs_delta_to_base_changed_only,q_survival_count,q_survival_ratio_over_fp_changed,closer_to_fp_count,closer_to_base_count,tie_count,closer_to_fp_ratio_over_fp_changed,closer_to_base_ratio_over_fp_changed,tie_ratio_over_fp_changed,same_sign_count,same_sign_ratio_over_fp_changed,mean_shrinkage_ratio_changed_only,median_shrinkage_ratio_changed_only,l1_delta,l2_delta_sq
up_blocks.2.resnets.1.conv2.weight,up,resnet_conv2,3686400,3224247,0.8746329752604166,5.090062040835619e-05,0.0029296875,5.819654688821174e-05,5.090062040835619e-05,5.819654688821174e-05,3224247,1.0,3224119,0,128,0.9999603008082197,0.0,3.969919178028234e-05,3224247,1.0,0.9999801516532898,1.0,187.64004516601562,0.028863299638032913
up_blocks.2.resnets.2.conv2.weight,up,resnet_conv2,3686400,3223140,0.8743326822916667,4.9323291023029014e-05,0.001953125,5.6412496633129194e-05,4.9323291023029014e-05,5.6412496633129194e-05,3223140,1.0,3223013,0,127,0.9999605974298355,0.0,3.940257016449797e-05,3223140,1.0,0.9999802708625793,1.0,181.82537841796875,0.025934064760804176
down_blocks.1.resnets.0.conv2.weight,down,resnet_conv2,3686400,3224336,0.8746571180555556,4.877113315160386e-05,0.0009765625,5.57602834305726e-05,4.877113315160386e-05,5.57602834305726e-05,3224336,1.0,3224249,0,87,0.9999730177003886,0.0,2.6982299611454885e-05,3224336,1.0,0.9999865293502808,1.0,179.78990173339844,0.02128695696592331
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v.weight,down,attn2_to_v,983040,907319,0.9229726155598958,0.0001828241947805509,0.002559661865234375,0.000198081907001324,0.0001828241947805509,0.00019808189244940877,907319,1.0,907319,0,0,1.0,0.0,0.0,907319,1.0,1.0,1.0,179.72349548339844,0.10937165468931198
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v.weight,up,attn2_to_v,983040,896932,0.9124064127604167,0.00018224607629235834,0.003947019577026367,0.00019974220776930451,0.00018224607629235834,0.00019974220776930451,896932,1.0,896932,0,0,1.0,0.0,0.0,896932,1.0,1.0,1.0,179.15518188476562,0.13529758155345917
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,up,attn2_to_v,983040,893858,0.9092793782552083,0.00017577105609234422,0.003932952880859375,0.0001933080784510821,0.00017577105609234422,0.0001933080784510821,893858,1.0,893858,0,0,1.0,0.0,0.0,893858,1.0,1.0,1.0,172.78997802734375,0.12204783409833908
mid_block.attentions.0.transformer_blocks.0.attn2.to_v.weight,mid,attn2_to_v,983040,898119,0.9136138916015625,0.00017085211584344506,0.00301361083984375,0.00018700692453421652,0.00017085211584344506,0.00018700692453421652,898119,1.0,898119,0,0,1.0,0.0,0.0,898119,1.0,1.0000001192092896,1.0,167.9544677734375,0.10240477323532104
down_blocks.1.resnets.1.conv2.weight,down,resnet_conv2,3686400,3224713,0.8747593858506945,4.440360135049559e-05,0.0009765625,5.076093293610029e-05,4.440360135049559e-05,5.076093293610029e-05,3224713,1.0,3224583,0,130,0.999959686334877,0.0,4.031366512306676e-05,3224713,1.0,0.9999798536300659,1.0,163.68943786621094,0.019764333963394165
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k.weight,up,attn2_to_k,983040,885802,0.9010843912760417,0.00015696565969847143,0.00380706787109375,0.00017419640789739788,0.00015696565969847143,0.00017419640789739788,885802,1.0,885802,0,0,1.0,0.0,0.0,885802,1.0,1.0,1.0,154.30352783203125,0.10248494893312454
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0.weight,down,attn2_to_out,409600,400628,0.978095703125,0.0003665340773295611,0.0034637451171875,0.0003747425798792392,0.0003665340773295611,0.0003747425798792392,400628,1.0,400628,0,0,1.0,0.0,0.0,400628,1.0,1.0,1.0,150.13235473632812,0.11225295066833496
